                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97134,                 3.0095,                 1.3821,                 0.7348,                0.48995,                0.64378,                 0.4229,                0.93897,                 2.7678,                 1.4229,             0.00015719,             0.00015719,             0.00015719
                      2,                0.66885,                 1.2615,                 1.1291,                0.80874,                0.83942,                0.94222,                0.80623,                0.66266,                 2.2905,                 1.0453,             0.00032216,             0.00032216,             0.00032216
                      3,                0.61789,                 1.0648,                 1.0456,                0.83653,                0.87988,                0.84894,                0.62282,                0.72568,                 2.1103,                 1.1391,             0.00048034,             0.00048034,             0.00048034
                      4,                0.59864,                0.86472,                 1.0481,                0.66403,                0.87847,                0.78944,                0.47979,                0.87995,                 1.4948,                 1.2438,             0.00063174,             0.00063174,             0.00063174
                      5,                0.62311,                0.84743,                 1.0796,                0.53025,                0.83412,                0.72405,                0.42614,                0.98439,                 1.8345,                 1.3898,             0.00077634,             0.00077634,             0.00077634
                      6,                0.63307,                0.76639,                 1.0734,                0.79402,                0.55877,                0.56505,                0.40999,                0.79197,                 1.7697,                 1.2545,             0.00091415,             0.00091415,             0.00091415
                      7,                0.63668,                 0.8731,                 1.0934,                0.59229,                0.74187,                0.71742,                0.43159,                0.85474,                 2.9411,                 1.2069,              0.0010452,              0.0010452,              0.0010452
                      8,                 0.8273,                 1.2301,                 1.2036,                 0.4338,                0.78615,                0.61971,                0.35319,                0.94489,                 1.7479,                  1.302,              0.0011694,              0.0011694,              0.0011694
                      9,                  0.706,                0.85579,                 1.1242,                0.54005,                0.84456,                0.74979,                0.41082,                0.91253,                 3.0687,                 1.3738,              0.0012026,              0.0012026,              0.0012026
                     10,                 0.6781,                0.81384,                 1.1144,                 0.4718,                0.86905,                0.62078,                0.36558,                 1.0212,                 1.6354,                 1.3266,              0.0012026,              0.0012026,              0.0012026
                     11,                0.64966,                0.79725,                  1.113,                0.73632,                0.43915,                0.48176,                 0.3242,                0.95902,                 1.6872,                 1.3114,              0.0011744,              0.0011744,              0.0011744
                     12,                0.62298,                0.73921,                 1.0642,                0.56701,                0.57315,                0.52471,                0.30616,                 1.1615,                  1.233,                 1.4754,              0.0011461,              0.0011461,              0.0011461
                     13,                0.64094,                 0.8743,                  1.087,                0.45329,                0.69524,                0.63747,                0.40599,                0.94491,                 1.5582,                 1.3144,              0.0011178,              0.0011178,              0.0011178
                     14,                0.81752,                 1.1753,                 1.2998,                0.79408,                0.78213,                0.86804,                0.63332,                0.79886,                0.97002,                 1.2036,              0.0010895,              0.0010895,              0.0010895
                     15,                0.59665,                0.71093,                 1.0514,                0.93914,                 0.9512,                0.98793,                0.64375,                0.77054,                0.68405,                 1.1756,              0.0010612,              0.0010612,              0.0010612
