                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69386,                 3.2784,                 1.1607,                 0.5871,                0.52452,                0.54817,                0.40847,                0.64228,                  2.907,                 1.1326,             0.00020325,             0.00020325,             0.00020325
                      2,                0.61321,                 1.4548,                 1.0824,                 0.5059,                0.56515,                0.61912,                0.43391,                0.70884,                 1.7216,                  1.221,             0.00040887,             0.00040887,             0.00040887
                      3,                0.64168,                 1.2991,                 1.0863,                0.57623,                0.61415,                0.65529,                 0.4757,                0.67479,                 1.9819,                 1.2123,             0.00061174,             0.00061174,             0.00061174
                      4,                0.66743,                 1.1676,                 1.1014,                0.67881,                0.55171,                0.68378,                 0.4611,                0.83667,                  1.339,                 1.3469,             0.00061262,             0.00061262,             0.00061262
                      5,                0.67637,                 1.1419,                 1.1142,                0.80474,                0.46728,                0.66872,                0.44187,                0.80949,                 1.2297,                 1.2862,             0.00061262,             0.00061262,             0.00061262
                      6,                0.65982,                 1.1234,                 1.0938,                0.69514,                0.74304,                0.79606,                0.55703,                 0.7525,                 1.1089,                 1.2575,              0.0006085,              0.0006085,              0.0006085
                      7,                  0.661,                 1.0317,                 1.0931,                0.69869,                0.64756,                0.75412,                0.58237,                0.78637,                 1.2727,                 1.2416,             0.00060437,             0.00060437,             0.00060437
                      8,                0.60939,                0.90798,                 1.0615,                0.65901,                0.69597,                0.84355,                0.65422,                0.66993,                0.92894,                 1.2336,             0.00060025,             0.00060025,             0.00060025
                      9,                0.62991,                0.87748,                 1.0729,                0.81795,                0.72601,                0.77271,                0.62295,                0.70389,                 0.8986,                 1.1878,             0.00059612,             0.00059612,             0.00059612
                     10,                0.60215,                 0.8706,                  1.055,                0.75651,                0.64287,                0.73407,                0.52909,                0.79145,                 1.1435,                 1.2873,               0.000592,               0.000592,               0.000592
                     11,                0.61949,                0.99074,                  1.064,                0.80068,                0.69903,                0.85335,                0.65153,                0.73024,                0.98075,                 1.2334,             0.00058787,             0.00058787,             0.00058787
                     12,                0.59847,                0.83103,                 1.0545,                0.88253,                0.65163,                0.78507,                0.63685,                0.72035,                0.87364,                 1.2198,             0.00058375,             0.00058375,             0.00058375
                     13,                0.59243,                0.79947,                 1.0509,                0.93583,                0.66505,                0.85818,                0.69054,                 0.6898,                0.80852,                 1.2077,             0.00057963,             0.00057963,             0.00057963
                     14,                0.56878,                0.77839,                 1.0353,                0.81504,                0.81688,                0.86106,                0.71709,                0.66948,                0.89634,                 1.1647,              0.0005755,              0.0005755,              0.0005755
                     15,                0.55092,                0.74717,                 1.0248,                0.79668,                0.69446,                0.75812,                0.64393,                0.65376,                0.81634,                 1.1869,             0.00057138,             0.00057138,             0.00057138
                     16,                0.56269,                0.74517,                 1.0393,                0.82972,                0.66413,                0.86485,                0.68793,                0.68648,                0.82481,                 1.2225,             0.00056725,             0.00056725,             0.00056725
                     17,                0.55632,                0.73247,                  1.035,                0.70673,                0.71173,                0.82457,                0.65452,                0.68353,                 1.0765,                 1.2097,             0.00056313,             0.00056313,             0.00056313
                     18,                0.55264,                0.71745,                 1.0311,                0.78053,                0.74897,                0.80728,                0.67726,                0.63141,                0.76638,                 1.1212,               0.000559,               0.000559,               0.000559
                     19,                0.52664,                0.67706,                 1.0191,                0.80507,                0.76313,                0.89567,                 0.7411,                0.59708,                0.78497,                 1.1284,             0.00055488,             0.00055488,             0.00055488
                     20,                0.54373,                0.69091,                   1.03,                0.86341,                0.85275,                0.90564,                0.75181,                0.58155,                0.61556,                 1.0832,             0.00055075,             0.00055075,             0.00055075
                     21,                0.52021,                0.68035,                 1.0122,                0.76949,                0.86988,                0.91752,                0.73263,                0.57413,                0.60746,                 1.1168,             0.00054663,             0.00054663,             0.00054663
                     22,                0.52159,                0.68872,                 1.0069,                0.78033,                0.93259,                0.95172,                0.78798,                0.56848,                0.57261,                 1.0912,              0.0005425,              0.0005425,              0.0005425
                     23,                0.50023,                0.63718,                0.99155,                0.73795,                0.93452,                0.90701,                0.75683,                 0.6517,                0.68239,                 1.1641,             0.00053838,             0.00053838,             0.00053838
                     24,                0.50029,                0.61467,                 1.0003,                0.75207,                 0.9788,                 0.9615,                0.77852,                0.60566,                0.57623,                 1.0954,             0.00053425,             0.00053425,             0.00053425
                     25,                 0.5018,                0.65104,                 1.0043,                0.86833,                0.86455,                0.91894,                0.77532,                0.60312,                0.65306,                 1.0796,             0.00053013,             0.00053013,             0.00053013
                     26,                0.50674,                 0.6261,                0.99887,                0.82544,                0.88864,                0.92411,                 0.7954,                0.56408,                0.66773,                 1.0454,               0.000526,               0.000526,               0.000526
                     27,                 0.5001,                0.61694,                0.99589,                0.71698,                0.90625,                0.92827,                0.79439,                0.57978,                0.76465,                 1.0857,             0.00052188,             0.00052188,             0.00052188
                     28,                 0.5097,                0.62041,                0.99887,                0.91851,                0.72744,                0.92067,                0.78335,                0.58211,                0.62827,                 1.0945,             0.00051775,             0.00051775,             0.00051775
                     29,                 0.4892,                0.58563,                0.98802,                0.95579,                0.85745,                0.94622,                0.79209,                0.57999,                 0.5533,                  1.081,             0.00051363,             0.00051363,             0.00051363
